Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.55,-.39,-.26,-.37,-.11,-.23,-.24,-.25,-.27,-.33,-.38,-.49,-.32,***,***,-.25,-.24,-.32
1881,-.20,-.25,.01,-.02,-.06,-.37,-.06,-.03,-.23,-.41,-.43,-.28,-.19,-.21,-.31,-.02,-.15,-.36
1882,.22,.22,.00,-.36,-.32,-.39,-.37,-.14,-.17,-.53,-.33,-.42,-.22,-.21,.05,-.23,-.30,-.34
1883,-.60,-.68,-.16,-.28,-.33,-.26,-.09,-.26,-.34,-.22,-.41,-.26,-.32,-.34,-.56,-.25,-.20,-.32
1884,-.23,-.12,-.65,-.63,-.42,-.52,-.48,-.51,-.45,-.41,-.48,-.40,-.44,-.43,-.20,-.57,-.50,-.45
1885,-1.00,-.37,-.21,-.53,-.55,-.47,-.39,-.45,-.32,-.30,-.28,.00,-.41,-.44,-.59,-.43,-.44,-.30
1886,-.68,-.68,-.57,-.35,-.35,-.44,-.20,-.47,-.35,-.32,-.45,-.17,-.42,-.41,-.45,-.42,-.37,-.37
1887,-1.07,-.58,-.37,-.43,-.28,-.21,-.23,-.52,-.17,-.41,-.20,-.45,-.41,-.39,-.61,-.36,-.32,-.26
1888,-.53,-.60,-.58,-.25,-.17,-.05,.02,-.20,-.14,.02,-.04,-.27,-.23,-.25,-.53,-.33,-.08,-.05
1889,-.32,.33,.05,.13,-.06,-.14,-.11,-.17,-.27,-.35,-.62,-.56,-.17,-.15,-.09,.04,-.14,-.42
1890,-.66,-.57,-.45,-.37,-.50,-.22,-.25,-.39,-.41,-.09,-.71,-.43,-.42,-.43,-.60,-.44,-.29,-.40
1891,-.61,-.69,-.12,-.34,-.23,-.16,-.14,-.10,-.03,-.27,-.56,-.02,-.27,-.31,-.57,-.23,-.14,-.29
1892,-.45,-.17,-.57,-.49,-.29,-.12,-.39,-.30,-.13,-.23,-.82,-.67,-.39,-.33,-.22,-.45,-.27,-.40
1893,-1.48,-.90,-.30,-.31,-.44,-.23,-.13,-.34,-.23,-.24,-.26,-.64,-.46,-.46,-1.02,-.35,-.23,-.24
1894,-.87,-.44,-.21,-.60,-.35,-.49,-.25,-.23,-.27,-.25,-.47,-.32,-.39,-.42,-.65,-.38,-.32,-.33
1895,-.74,-.78,-.39,-.24,-.31,-.26,-.19,-.25,.01,-.05,-.06,-.25,-.29,-.30,-.61,-.31,-.23,-.03
1896,-.44,-.22,-.50,-.61,-.23,.01,-.03,-.07,-.05,.13,-.25,-.19,-.20,-.21,-.30,-.44,-.03,-.06
1897,-.38,-.35,-.39,-.06,.06,-.14,-.02,-.10,-.04,-.15,-.27,-.29,-.18,-.17,-.31,-.13,-.09,-.15
1898,.03,-.44,-.77,-.32,-.32,-.12,-.14,-.17,-.17,-.36,-.47,-.28,-.30,-.30,-.23,-.47,-.14,-.33
1899,-.14,-.68,-.53,-.21,-.28,-.39,-.21,-.04,-.01,.05,.36,-.49,-.21,-.20,-.37,-.34,-.22,.14
1900,-.61,-.07,.11,-.15,-.04,-.16,-.15,-.09,.01,.24,-.16,-.01,-.09,-.13,-.39,-.03,-.13,.03
