Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.03,.03,.05,-.02,-.12,-.24,-.18,.06,-.05,-.14,-.02,.04,-.05,***,***,-.03,-.12,-.07
1881,-.11,-.09,.06,.10,.09,-.04,-.07,-.02,-.04,-.02,-.01,.07,-.01,-.01,-.05,.09,-.04,-.02
1882,.07,.08,.07,-.01,.00,-.13,-.04,.03,-.03,.02,.00,-.08,.00,.01,.07,.02,-.05,.00
1883,-.04,-.10,-.09,-.06,-.07,.01,-.06,-.04,-.07,-.06,-.04,-.05,-.06,-.06,-.07,-.08,-.03,-.06
1884,-.07,-.05,-.09,-.23,-.31,-.30,-.22,-.03,-.10,-.08,-.12,-.17,-.15,-.14,-.06,-.21,-.18,-.10
1885,-.20,-.24,-.30,-.33,-.29,-.41,-.33,-.19,-.16,-.10,-.13,-.10,-.23,-.24,-.20,-.31,-.31,-.13
1886,-.18,-.24,-.21,-.22,-.18,-.35,-.24,-.21,-.17,-.25,-.18,-.34,-.23,-.21,-.17,-.20,-.26,-.20
1887,-.39,-.46,-.31,-.34,-.36,-.27,-.23,-.13,-.27,-.24,-.27,-.24,-.29,-.30,-.40,-.34,-.21,-.26
1888,-.22,-.13,-.25,-.21,-.28,-.32,-.22,-.11,-.07,.01,.06,.13,-.13,-.16,-.20,-.25,-.22,.00
1889,.08,.02,.09,.00,.01,-.14,-.09,-.22,-.17,-.11,-.05,-.04,-.05,-.04,.08,.03,-.15,-.11
1890,-.23,-.33,-.35,-.37,-.43,-.32,-.29,-.38,-.38,-.40,-.27,-.19,-.33,-.32,-.20,-.38,-.33,-.35
1891,-.24,-.26,-.24,-.23,-.15,-.25,-.27,-.23,-.24,-.16,-.13,-.05,-.20,-.22,-.23,-.21,-.25,-.18
1892,-.11,-.07,-.14,-.21,-.22,-.35,-.27,-.21,-.13,-.02,-.03,-.13,-.16,-.15,-.08,-.19,-.28,-.06
1893,-.13,-.19,-.17,-.29,-.28,-.35,-.19,-.20,-.18,-.09,-.07,-.06,-.18,-.19,-.15,-.25,-.24,-.12
1894,-.20,-.23,-.28,-.36,-.35,-.39,-.27,-.21,-.22,-.16,-.03,-.08,-.23,-.23,-.16,-.33,-.29,-.14
1895,-.16,-.08,-.18,-.25,-.22,-.21,-.16,-.06,-.18,-.11,-.22,-.07,-.16,-.16,-.10,-.22,-.14,-.17
1896,-.07,-.07,-.03,-.01,-.14,-.28,-.04,.00,-.01,.11,.10,.12,-.03,-.04,-.07,-.06,-.11,.07
1897,.08,.05,.11,.01,-.15,-.18,-.12,-.12,-.11,-.11,-.12,-.10,-.06,-.04,.08,-.01,-.14,-.11
1898,-.09,-.15,-.26,-.36,-.33,-.29,-.34,-.34,-.26,-.31,-.30,-.24,-.27,-.26,-.11,-.32,-.32,-.29
1899,-.24,-.14,-.16,-.21,-.20,-.27,-.15,-.10,-.05,-.15,-.12,-.09,-.16,-.17,-.21,-.19,-.17,-.11
1900,-.14,.01,-.09,-.11,-.16,-.10,-.11,-.11,-.10,-.05,-.03,-.13,-.09,-.09,-.07,-.12,-.11,-.06
1901,-.13,-.15,-.18,-.18,-.21,-.28,-.31,-.26,-.17,-.31,-.14,-.16,-.21,-.20,-.14,-.19,-.28,-.21
1902,-.23,-.18,-.21,-.21,-.27,-.25,-.26,-.34,-.25,-.28,-.28,-.26,-.25,-.24,-.19,-.23,-.28,-.27
1903,-.27,-.26,-.33,-.39,-.40,-.41,-.30,-.39,-.49,-.50,-.46,-.50,-.39,-.37,-.26,-.38,-.37,-.49
1904,-.54,-.59,-.61,-.52,-.62,-.50,-.46,-.47,-.48,-.41,-.29,-.34,-.49,-.50,-.54,-.58,-.48,-.39
1905,-.28,-.38,-.22,-.25,-.32,-.27,-.34,-.20,-.21,-.24,-.24,-.10,-.25,-.27,-.33,-.26,-.27,-.23
1906,.00,-.02,-.15,-.14,-.25,-.31,-.22,-.27,-.33,-.24,-.37,-.34,-.22,-.20,-.04,-.18,-.27,-.32
1907,-.29,-.31,-.27,-.30,-.33,-.36,-.32,-.33,-.29,-.28,-.37,-.37,-.32,-.32,-.32,-.30,-.33,-.31
1908,-.34,-.37,-.40,-.42,-.46,-.46,-.39,-.37,-.42,-.46,-.41,-.45,-.41,-.41,-.36,-.43,-.41,-.43
1909,-.51,-.47,-.41,-.52,-.60,-.53,-.47,-.32,-.39,-.45,-.52,-.55,-.48,-.47,-.48,-.51,-.44,-.45
1910,-.50,-.46,-.54,-.45,-.38,-.31,-.31,-.33,-.35,-.50,-.53,-.53,-.43,-.43,-.50,-.46,-.32,-.46
1911,-.53,-.58,-.60,-.64,-.57,-.63,-.44,-.43,-.44,-.34,-.23,-.12,-.46,-.50,-.55,-.60,-.50,-.34
1912,-.16,-.12,-.14,-.17,-.27,-.32,-.32,-.32,-.31,-.31,-.26,-.29,-.25,-.24,-.14,-.19,-.32,-.30
1913,-.26,-.27,-.41,-.29,-.32,-.40,-.16,-.19,-.27,-.25,-.24,-.15,-.27,-.28,-.27,-.34,-.25,-.25
1914,-.09,-.11,-.13,-.20,-.21,-.25,-.12,-.05,-.01,-.06,-.08,-.03,-.11,-.12,-.12,-.18,-.14,-.05
1915,-.14,.03,.04,.07,-.07,-.30,-.13,-.25,-.19,-.21,-.22,-.17,-.13,-.12,-.05,.01,-.22,-.20
1916,-.16,-.14,-.17,-.26,-.31,-.49,-.41,-.20,-.23,-.28,-.44,-.51,-.30,-.27,-.16,-.25,-.37,-.32
1917,-.62,-.60,-.53,-.46,-.37,-.38,-.18,-.05,-.12,-.24,-.34,-.28,-.35,-.37,-.57,-.45,-.20,-.23
1918,-.27,-.24,-.26,-.29,-.38,-.29,-.25,-.27,-.08,-.06,.02,-.01,-.20,-.22,-.26,-.31,-.27,-.04
1919,-.01,-.07,-.03,-.02,-.11,-.32,-.23,-.36,-.30,-.30,-.34,-.27,-.20,-.17,-.03,-.05,-.30,-.31
1920,-.34,-.24,-.22,-.27,-.30,-.45,-.37,-.19,-.07,-.14,-.09,-.21,-.24,-.25,-.28,-.27,-.34,-.10
1921,-.29,-.28,-.38,-.44,-.34,-.40,-.26,-.22,-.20,-.05,-.17,-.20,-.27,-.27,-.26,-.38,-.29,-.14
1922,-.28,-.25,-.18,-.30,-.45,-.47,-.26,-.29,-.28,-.34,-.16,-.23,-.29,-.29,-.24,-.31,-.34,-.26
1923,-.36,-.31,-.28,-.26,-.28,-.31,-.33,-.36,-.41,-.32,-.18,-.15,-.30,-.30,-.30,-.27,-.33,-.30
1924,-.16,-.24,-.18,-.34,-.30,-.29,-.35,-.45,-.41,-.45,-.52,-.47,-.35,-.32,-.18,-.27,-.36,-.46
1925,-.49,-.41,-.31,-.34,-.36,-.40,-.30,-.17,-.32,-.27,-.12,-.07,-.30,-.33,-.46,-.34,-.29,-.24
1926,-.11,-.12,-.13,-.12,-.21,-.26,-.31,-.18,-.21,-.25,-.25,-.27,-.20,-.19,-.10,-.15,-.25,-.24
1927,-.25,-.27,-.29,-.33,-.36,-.40,-.32,-.31,-.25,-.24,-.18,-.26,-.29,-.29,-.26,-.33,-.34,-.23
1928,-.28,-.26,-.26,-.23,-.42,-.43,-.27,-.27,-.25,-.28,-.21,-.26,-.28,-.28,-.26,-.30,-.32,-.24
1929,-.35,-.37,-.45,-.46,-.47,-.44,-.35,-.43,-.28,-.25,-.20,-.40,-.37,-.36,-.33,-.46,-.41,-.24
1930,-.49,-.35,-.32,-.33,-.27,-.28,-.37,-.32,-.26,-.24,-.07,-.17,-.29,-.31,-.41,-.31,-.32,-.19
1931,-.21,-.16,-.13,-.25,-.23,-.29,-.14,-.16,-.29,-.24,-.36,-.21,-.22,-.22,-.18,-.20,-.20,-.30
1932,-.11,-.16,-.17,-.22,-.25,-.42,-.33,-.36,-.31,-.33,-.22,-.32,-.27,-.26,-.16,-.21,-.37,-.29
1933,-.30,-.29,-.28,-.32,-.32,-.37,-.31,-.33,-.31,-.31,-.38,-.36,-.32,-.32,-.30,-.30,-.34,-.33
1934,-.30,-.42,-.33,-.33,-.27,-.27,-.17,-.14,-.19,-.26,-.21,-.25,-.26,-.27,-.36,-.31,-.19,-.22
1935,-.27,-.32,-.32,-.39,-.28,-.39,-.39,-.38,-.36,-.24,-.20,-.19,-.31,-.32,-.28,-.33,-.38,-.27
1936,-.27,-.26,-.31,-.34,-.33,-.48,-.30,-.30,-.24,-.12,-.13,-.20,-.27,-.27,-.24,-.33,-.36,-.17
1937,-.26,-.22,-.20,-.26,-.24,-.23,-.23,-.12,-.10,-.16,-.07,-.15,-.19,-.19,-.22,-.23,-.19,-.11
1938,-.22,-.24,-.17,-.22,-.22,-.28,-.18,-.23,-.17,-.06,-.20,-.16,-.19,-.19,-.20,-.20,-.23,-.14
1939,-.16,-.16,-.14,-.14,-.10,-.14,-.17,-.20,-.26,-.15,-.11,.07,-.14,-.16,-.16,-.13,-.17,-.17
1940,.11,.03,.15,.06,.07,.07,.10,.08,.06,-.05,.05,.27,.08,.07,.07,.09,.08,.02
1941,.19,.15,.09,.21,.13,.08,.21,.13,-.03,.23,.29,.26,.16,.16,.20,.15,.14,.16
1942,.21,.14,.12,.11,.07,.00,.00,.02,-.15,-.25,-.08,-.03,.01,.04,.20,.10,.01,-.16
1943,.06,-.05,-.09,-.10,-.09,-.03,.18,-.09,-.02,.00,.04,.08,-.01,-.02,-.01,-.10,.02,.01
1944,.09,.06,.22,.22,.16,.24,.25,.22,.23,.09,.01,.08,.16,.16,.08,.20,.24,.11
